City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,tayshet,55.9342,98.0044,50.45,68,16,4.99,RU,1697041706
301,lazaro cardenas,17.9583,-102.2,76.96,93,99,9.64,MX,1697041619
302,acworth,34.0659,-84.6769,70.02,78,0,0.0,US,1697040964
303,la passe,45.5549,-0.8967,84.43,40,23,5.53,FR,1697041708
304,labrador city,52.9463,-66.9114,48.11,93,100,0.0,CA,1697041708
305,buka,40.8108,69.1986,71.49,20,39,4.65,UZ,1697041709
306,paphos,34.7667,32.4167,76.78,69,20,4.61,CY,1697041709
307,bereket,39.2446,55.5154,65.05,57,69,2.39,TM,1697041710
308,fuyang,32.9,115.8167,63.63,65,98,5.59,CN,1697041710
309,dali,25.7,100.1833,59.14,94,100,3.47,CN,1697041711
310,nar'yan-mar,67.6713,53.087,34.11,76,22,8.99,RU,1697041711
311,beloyarskiy,63.7119,66.6722,37.0,84,100,13.0,RU,1697041712
312,fort st. john,56.2499,-120.8529,46.29,81,75,5.75,CA,1697041712
313,alofi,-19.0595,-169.9187,69.69,88,100,1.14,NU,1697041713
314,kyotera,-0.6156,31.5175,68.45,83,77,7.94,UG,1697041713
315,amarwara,22.3,79.1667,71.42,55,0,4.12,IN,1697041713
316,berezovyy,51.6667,135.7,42.8,76,72,6.98,RU,1697041714
317,grand falls-windsor,48.9332,-55.6649,60.51,81,100,4.99,CA,1697041522
318,mineiros,-17.5694,-52.5511,93.56,35,39,7.94,BR,1697041715
319,iranshahr,27.2025,60.6848,97.14,13,0,6.91,IR,1697041715
320,yemel'yanovo,56.1681,92.6767,57.49,54,0,7.0,RU,1697041716
321,vila franca do campo,37.7167,-25.4333,67.87,99,100,9.1,PT,1697041716
322,queenstown,-31.8976,26.8753,73.0,38,85,8.52,ZA,1697041717
323,maun,-19.9833,23.4167,96.24,11,76,6.44,BW,1697041567
324,'ain benian,36.8028,2.9219,80.65,66,2,6.78,DZ,1697041717
325,sechura,-5.5569,-80.8222,78.08,60,39,10.47,PE,1697041718
326,zeya,53.75,127.2667,44.49,77,79,2.93,RU,1697041718
327,crane,31.3974,-102.3501,74.68,54,0,12.62,US,1697041464
328,nagqu,31.5,92.0,31.48,52,96,5.26,CN,1697041719
329,ubari,26.5921,12.7805,82.11,21,2,8.95,LY,1697041720
330,khandud,36.9513,72.318,47.46,37,0,0.69,AF,1697041720
331,jamestown,42.097,-79.2353,54.52,93,100,6.91,US,1697041594
332,mahajanga,-15.7167,46.3167,80.62,83,0,12.66,MG,1697041721
333,bei'an,24.5399,109.533,67.28,74,100,5.75,CN,1697041721
334,malabar,-33.9667,151.25,64.13,85,1,3.44,AU,1697041722
335,pedernales,18.0384,-71.744,87.69,63,3,4.52,DO,1697041723
336,likisa,-8.6695,125.6875,63.45,59,100,4.72,TL,1697041723
337,vokhtoga,58.8147,41.0461,39.52,67,100,15.48,RU,1697041724
338,portland,45.5234,-122.6762,55.81,94,100,12.66,US,1697041529
339,ocean shores,46.9737,-124.1563,58.95,95,100,5.75,US,1697041561
340,nueva gerona,21.8833,-82.8,89.69,66,50,21.12,CU,1697041725
341,selebi-phikwe,-21.979,27.8498,86.5,25,8,11.48,BW,1697041726
342,khandyga,62.6667,135.6,27.48,98,100,5.19,RU,1697041726
343,tyup,42.7276,78.3648,52.95,47,1,4.38,KG,1697041727
344,tyumen,57.1522,65.5272,44.1,68,40,8.99,RU,1697041727
345,narvik,68.4384,17.4272,36.81,94,100,7.52,NO,1697041728
346,twon-brass,4.3151,6.2418,80.56,79,77,10.78,NG,1697041728
347,kingsland,30.8,-81.6898,76.98,84,100,2.08,US,1697041729
348,laojunmiao,39.8333,97.7333,49.55,43,100,1.68,CN,1697041729
349,ceerigaabo,10.6162,47.368,70.25,58,74,4.32,SO,1697041729
350,aleksandrovsk-sakhalinskiy,50.8975,142.1561,42.64,83,12,8.01,RU,1697041730
351,alice springs,-23.7,133.8833,60.35,27,2,0.0,AU,1697041730
352,ayr,55.4627,-4.6339,53.58,58,20,19.57,GB,1697041479
353,ciudad sabinas hidalgo,26.5,-100.1667,72.81,81,99,3.76,MX,1697041731
354,dudinka,69.4058,86.1778,34.68,93,100,15.01,RU,1697041732
355,alaghsas,17.0187,8.0168,96.69,11,0,16.11,NE,1697041732
356,margate,51.3813,1.3862,63.9,82,100,5.99,GB,1697041733
357,arar,30.9753,41.0381,91.42,16,75,10.36,SA,1697041733
358,sittwe,20.15,92.9,78.84,87,93,5.97,MM,1697041734
